,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
97,ALBERICO SANTOS CERQUEIRA,ALBERICO,RIBEIRA DO AMPARO,PDT,ELEITO POR QP,518,0.0,8216.310000000001
98,MYLTON PEREIRA DE CARVALHO,NITIN DO JAVI,MUQUÉM DO SÃO FRANCISCO,PSB,ELEITO POR MÉDIA,511,0.0,6721.07
99,GIDELSON FERREIRA DE SANTANA,GIDELSON,OLINDINA,PSD,ELEITO POR QP,507,0.0,1380.0
100,JUCILANDE DE JESUS ROCHA,JUCILANDE DE ITABAÍ,MACARANI,PL,ELEITO POR QP,504,0.0,205.72
101,DEOLISANO JOSE DE SOUSA,DEÓ,ITANHÉM,PSD,ELEITO POR QP,503,0.0,1858.0
102,RENATA DE ARAÚJO SOUSA,RENATA DE LEU,ENCRUZILHADA,PDT,ELEITO POR MÉDIA,500,0.0,1680.0
103,SAMUEL OLIVEIRA SATELIS ALVES,SAMUEL DE FAROFA,IRAQUARA,PC do B,ELEITO POR QP,500,0.0,200.0
104,JOELSON DE OLIVEIRA SILVA DANTAS,JOELSON DANTAS,IRARÁ,PSB,ELEITO POR MÉDIA,499,0.0,500.0
105,MANOEL PRATES DA SILVA,MANOEL DE NOCA,GUAJERU,PSD,ELEITO POR QP,499,0.0,1775.0
106,ROBSON RAMOS DE JESUS,ROBSON RAMOS,RODELAS,PP,ELEITO POR QP,497,0.0,3035.0
107,CLEITON OLIVEIRA PIRES SILVA,CLEITON PIRES,MUNDO NOVO,PSB,ELEITO POR QP,497,0.0,500.0
108,OSCARINO DA SILVA VIEIRA,OSCARINO VIEIRA,CRISTÓPOLIS,PSD,ELEITO POR QP,495,0.0,2200.5
109,LENOILDO RIBEIRO DOS SANTOS,CANELINHA,ITACARÉ,PL,ELEITO POR QP,495,0.0,75.95
110,DIOCLESIANO BRITO COSTA,DIO DE TONHO DE BINA,NOVA SOURE,PSD,ELEITO POR MÉDIA,494,0.0,1912.54
