,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
29031,FABIANA MEIRELES OLIVEIRA,FABIANA MEIRELES,PORTO SEGURO,PSD,SUPLENTE,13,0.0,250.0,0.0
31276,CARLOS MOTA SANTOS,LULA DA VARJOTA,ÁGUA FRIA,PL,SUPLENTE,76,0.0,0.0,0.0
28943,MARCOS ANTONIO DE SOUZA,JACK  O ZÉ DO BREJO,URUÇUCA,PSD,NÃO ELEITO,17,0.0,370.0,0.0
31275,CHEILA DOS SANTOS ARAUJO COSTA,CHEILA,ÁGUA FRIA,PL,SUPLENTE,75,0.0,0.0,0.0
31274,JACIMEIRE CARVALHO DOS ANJOS SOUZA,JACI DE ZÉ TEMPERO,ÁGUA FRIA,PL,SUPLENTE,6,0.0,0.0,0.0
31273,ANAMILTON SANTANA DOS SANTOS,SEVERO BALA,ÁGUA FRIA,PL,SUPLENTE,71,0.0,0.0,0.0
31396,JOELSON DE OLIVEIRA SILVA DANTAS,JOELSON DANTAS,IRARÁ,PSB,ELEITO POR MÉDIA,499,0.0,500.0,0.0
7388,SERGIO MURILO DE SOUZA MARINHO,CEM POR CENTO,REMANSO,PDT,NÃO ELEITO,297,0.0,0.0,0.0
31398,JULIANA ALMEIDA DE LIMA BARRETO,JULIANA BARRETO,IRARÁ,PSB,SUPLENTE,41,0.0,0.0,0.0
31281,ERICA CAROLINE SANTOS JURITI,CAROL DE LURDES,ÁGUA FRIA,PL,SUPLENTE,2,0.0,0.0,0.0
5101,JOSE FRANCISCO DE SENA,IRAMAO JOSE  ZEZINHO,SANTA BRÍGIDA,PDT,NÃO ELEITO,62,0.0,3590.0,0.0
5109,GILSON PARANHOS DUARTE,GILSON DA SAUDE,SANTA BRÍGIDA,PP,ELEITO POR MÉDIA,271,0.0,1280.0,0.0
31391,JOSELITO CIRINO DE BRITO,BRITO,IRARÁ,PSB,SUPLENTE,66,0.0,400.0,0.0
31284,MARLON FERREIRA CERQUEIRA SANTOS,MARLON FERREIRA,ÁGUA FRIA,PL,ELEITO POR QP,401,0.0,0.0,0.0
28948,MARIA JOSE FERREIRA DE SOUZA,ZEZE,URUÇUCA,PSD,NÃO ELEITO,1,0.0,370.0,0.0
5108,VALQUIRIA DA SILVA CAETANO,VALQUIRIA DO BURI,SANTA BRÍGIDA,PP,SUPLENTE,60,0.0,1280.0,0.0
5107,GIMARON PEREIRA DA SILVA,GIMARON DA MORADA VELHA,SANTA BRÍGIDA,PP,SUPLENTE,48,0.0,1280.0,0.0
28947,JAILDO DE JESUS SOUZA,GAZO MASCATE,URUÇUCA,PSD,NÃO ELEITO,15,0.0,370.0,0.0
5106,JERFESON OLIVEIRA NETO,JERFESON CHAVEIRINHO,SANTA BRÍGIDA,PDT,NÃO ELEITO,67,0.0,3590.0,0.0
5105,ISABELA CRISTINA QUEIROZ DAMACENA,ISABELA DAS TRANÇAS,SANTA BRÍGIDA,PDT,NÃO ELEITO,14,0.0,3590.0,0.0
5104,JAIRO MARQUES CORDEIRO,JAIRO PROFESSOR,SANTA BRÍGIDA,PDT,NÃO ELEITO,114,0.0,3590.0,0.0
31387,DANIEL BORGES PIMENTA,DANIEL DA PORTEIRA,IRARÁ,PSB,SUPLENTE,21,0.0,0.0,0.0
5103,MARIA LÚCIA MATIAS DE OLIVEIRA,LUCIA FILHA DE RAIMUNDO,SANTA BRÍGIDA,PDT,NÃO ELEITO,14,0.0,3590.0,0.0
7389,FRANCISCA VERONICA ALMEIDA LIMA,DONA VERONICA,REMANSO,PDT,NÃO ELEITO,23,0.0,0.0,0.0
29029,ADENILSON ANDRADE SANTOS,NIEL DO FRETE,PORTO SEGURO,PSD,SUPLENTE,39,0.0,1107.0,0.0
28946,ROBERTA CRISTINA RAMOS SANTANA MATOS,ROBERTA,URUÇUCA,PSD,NÃO ELEITO,5,0.0,370.0,0.0
31389,ROBERVAL BATISTA DOS SANTOS,ROBERVAL DA SAÚDE,IRARÁ,PSB,SUPLENTE,82,0.0,250.0,0.0
31283,LETICIA SILVA MASCARENHAS DOS SANTOS,LETICIA,ÁGUA FRIA,PL,SUPLENTE,4,0.0,0.0,0.0
5102,JOSE DO CARMO DE ARAUJO,ZE DE VALDECI,SANTA BRÍGIDA,PDT,NÃO ELEITO,40,0.0,3590.0,0.0
31282,FERNANDO LIMA BARBOSA,DIGO DE BARBOSINHA,ÁGUA FRIA,PL,SUPLENTE,215,0.0,0.0,0.0
5139,DAMIÃO BARBOSA DA SILVA,DAMINHÃO DA PRAINHA,PAULO AFONSO,AVANTE,SUPLENTE,21,0.0,0.0,0.0
31354,IVONICE SANTOS LIMA,VANIA DA URBIS,ITAPARICA,REPUBLICANOS,SUPLENTE,17,0.0,0.0,0.0
31353,ALEXANDRE RODRIGO CARDOSO DE AZEVEDO,XANDÃO,ITAPARICA,REPUBLICANOS,SUPLENTE,115,0.0,400.0,0.0
7416,WESKLEY BARBOSA DE JESUS,WESKLEY SENA,BONITO,PSD,SUPLENTE,234,0.0,1000.0,0.0
28992,EDNA CRISTINA DE SOUZA,MAGUINHA DE AMÉLIA,PIATÃ,PP,SUPLENTE,47,0.0,1000.0,0.0
7393,EUFROZINA DA SILVA SANTOS,EUFROZINA,REMANSO,PDT,NÃO ELEITO,12,0.0,0.0,0.0
31330,EDVALDO CARVALHO DE JESUS,ZINHO DE NEM DE CHICO,OURIÇANGAS,DEM,SUPLENTE,49,0.0,3777.5,0.0
31329,MAGNO DE JESUS RIBEIRO,FIO DO CAMPO,OURIÇANGAS,DEM,SUPLENTE,196,0.0,3577.5,0.0
28983,LENICE SOUZA MACÊDO,LENICE,PIATÃ,PP,SUPLENTE,93,0.0,1000.0,0.0
31328,EDUARDO DA HORA DE CRISTO,EDUARDO CRISTO,OURIÇANGAS,DEM,SUPLENTE,67,0.0,2077.5,0.0
7452,MANOEL DAMASCENO DOS REIS,NUNES DA UMBURANA,UTINGA,DEM,SUPLENTE,25,0.0,950.0,0.0
5141,JOSÉ VALDOMIRO DOS SANTOS FILHO,VALDOMIRO FILHO,PAULO AFONSO,AVANTE,SUPLENTE,219,0.0,789.36,0.0
29014,EDEM DA SILVA AZEVEDO,EDEM DA VIDRAÇARIA,UTINGA,REPUBLICANOS,SUPLENTE,41,0.0,0.0,0.0
28977,JAILTON SILVA DE JESUS,JAILTON DE JOCÉLIA DO SINDICAT,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,52,0.0,0.0,0.0
28976,CARLOS EDUARDO COSTA GAMA,GAMA,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,8,0.0,0.0,0.0
5144,MARCIO JEOVANI DA SILVA,MARCIO DA PRAINHA,PAULO AFONSO,AVANTE,SUPLENTE,261,0.0,567.47,0.0
29015,SOLANGE SANTOS ARAÚJO SOUZA,SOLANGE,UTINGA,REPUBLICANOS,SUPLENTE,6,0.0,0.0,0.0
28975,DANIEL SANTANA DA SILVA,IRMÃO DANIEL,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,22,0.0,0.0,0.0
28974,RAIMUNDO ROCHA SANTOS,RAIMUNDO DA ORAÇÃO,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,12,0.0,0.0,0.0
7455,SUZINARA DA SILVA PEREIRA,SUZINARA,UTINGA,DEM,SUPLENTE,4,0.0,600.0,0.0
29016,VALDÉCIO LIMA DE SOUSA,DEL LIMA,UTINGA,REPUBLICANOS,SUPLENTE,50,0.0,2500.0,0.0
7417,FABIA SOUZA DA MOTA,TINHA,BONITO,PSD,SUPLENTE,1,0.0,400.0,0.0
7415,EDMILSON FERREIRA DA SILVA,EDMILSON DO NUCLEO RURAL,BONITO,PSD,SUPLENTE,204,0.0,400.0,0.0
28964,CLEOTONILDO FREITAS RODRIGUES,TAZINHO PALHAÇO MELÃO,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,15,0.0,0.0,0.0
29012,POLIANA PAIXÃO DE SOUZA,POLIANA DO RIACHÃO,UTINGA,REPUBLICANOS,SUPLENTE,8,0.0,0.0,0.0
31335,MARIA COSME SANTOS ABREU,COSMINHA,OURIÇANGAS,DEM,SUPLENTE,4,0.0,1577.5,0.0
31336,ELISÂNGELA OLIVEIRA DANTAS,TITOLE,OURIÇANGAS,DEM,SUPLENTE,61,0.0,2077.5,0.0
31337,MARCELO CALIXTO DOS SANTOS,LOCUTOR MARCELO CALIXTO,OURIÇANGAS,DEM,SUPLENTE,19,0.0,3087.5,0.0
7395,MARIA LUIZA SILVA JORDAO,MARIA LUIZA,REMANSO,PDT,NÃO ELEITO,79,0.0,0.0,0.0
7396,JANIO VIEIRA GOMES,JANIO DO MARCOS,REMANSO,PDT,NÃO ELEITO,130,0.0,0.0,0.0
31338,SHUEILLA DE SANTANA PEREIRA GUIMARÃES,SHUEILLA GUIMARÃES,ITAPARICA,REPUBLICANOS,SUPLENTE,16,0.0,0.0,0.0
29010,JANDIRA DOS SANTOS,BILINHA,UTINGA,REPUBLICANOS,SUPLENTE,17,0.0,0.0,0.0
7394,DOMINGOS NEVES PEREIRA,DOMINGOS,REMANSO,PDT,NÃO ELEITO,211,0.0,0.0,0.0
31332,JOSE EDSON DE JESUS,ZÉ BARROS DA SAÚDE,OURIÇANGAS,DEM,SUPLENTE,45,0.0,3277.5,0.0
31339,MAGNA DOS SANTOS TEIXEIRA,MAGNATA FILHA DE NOGUEIRA,ITAPARICA,REPUBLICANOS,SUPLENTE,50,0.0,0.0,0.0
7400,JOSELENE DOS SANTOS PEREIRA,JOSI,BREJÕES,REDE,SUPLENTE,6,0.0,0.0,0.0
7403,DOMINGOS RODRIGUES OLIVEIRA FILHO,DOMINGAO,BREJÕES,REDE,SUPLENTE,16,0.0,0.0,0.0
31331,REINALDO BISPO DOS SANTOS,JOTA,OURIÇANGAS,DEM,SUPLENTE,42,0.0,2277.5,0.0
7404,JOSE CARLOS SANTOS DE JESUS,ZE DE DANIEL,BREJÕES,REDE,SUPLENTE,54,0.0,200.0,0.0
7408,MAILI COELHO GRADIL,MAILI,BREJÕES,REDE,SUPLENTE,11,0.0,0.0,0.0
7414,MARIA DA CONCEIÇÃO NERES DA SILVA,CUIA,BONITO,PSD,SUPLENTE,22,0.0,400.0,0.0
31340,VALDOMIRO SILVA NETO,VALDIR,ITAPARICA,REPUBLICANOS,SUPLENTE,78,0.0,0.0,0.0
31324,ALDECI RODRIGUES DOS SANTOS,ALDECI,BOA VISTA DO TUPIM,PT,SUPLENTE,19,0.0,500.0,0.0
5145,MÁRIO GOMES DA SILVA,IRMÃO MÁRIO,PAULO AFONSO,AVANTE,SUPLENTE,225,0.0,789.69,0.0
5147,UELINGTON DA SILVA,KEKO DO BENONE,PAULO AFONSO,AVANTE,ELEITO POR QP,558,0.0,956.36,0.0
5148,CLEBER JONES CORDEIRO COSTA,BISPO CAPELÃO JONES CLEBER,PAULO AFONSO,AVANTE,SUPLENTE,56,0.0,0.0,0.0
5166,VANILSON PEREIRA QUERINO,VANILSON COZINHEIRO,PAULO AFONSO,PSOL,NÃO ELEITO,8,0.0,835.0,0.0
31345,ADILSE PIEDADE EVANGELISTA,BILUNGA GUERREIRA,ITAPARICA,REPUBLICANOS,SUPLENTE,17,0.0,0.0,0.0
5167,BRENO BARROS PEREIRA,BRENO TURISMO,PAULO AFONSO,PSOL,NÃO ELEITO,70,0.0,835.0,0.0
5168,DANILO SANTOS DA SILVA,DANILO LEÃO,PAULO AFONSO,PSOL,NÃO ELEITO,18,0.0,180.0,0.0
5169,MARIA JOSÉ LEITE DA SILVA,LIU DA SAÚDE,PAULO AFONSO,PSOL,NÃO ELEITO,26,0.0,14581.23,0.0
31347,JOANA COSTA E SILVA LIMA,JOANA DOS IDOSOS,ITAPARICA,REPUBLICANOS,SUPLENTE,106,0.0,200.0,0.0
31348,RAIMUNDO DE PAULA DOS SANTOS,MUNDINHO DO AMOR,ITAPARICA,REPUBLICANOS,SUPLENTE,18,0.0,0.0,0.0
28967,RAIMUNDO FERREIRA DA SILVA,RAI DA SOLDA,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,3,0.0,0.0,0.0
28966,OFELIA AGAPITO DOS SANTOS BITTENCOURT,OFÉLIA DE JACUÍPE,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,8,0.0,0.0,0.0
31349,EMANOEL PITTA DE BRITO,EMANOEL PITTA,ITAPARICA,REPUBLICANOS,SUPLENTE,66,0.0,0.0,0.0
5170,FRANCISCO DE ASSIS DA SILVA SANTOS,CHICO GARÇON,PAULO AFONSO,PSOL,NÃO ELEITO,59,0.0,835.0,0.0
5171,NAEDJA DANUSA BEZERRA DE MELO,NAEDJA MELO,PAULO AFONSO,PSOL,NÃO ELEITO,29,0.0,835.0,0.0
28965,ANA RITA DE JESUS SANTOS,RITA DE LAMARÃO,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,3,0.0,0.0,0.0
31351,ADENILSON PEIXOTO TRINDADE,DENINHO,ITAPARICA,REPUBLICANOS,SUPLENTE,167,0.0,0.0,0.0
5172,JOSÉ RAIMUNDO SILVA OLIVEIRA,RAIMUNDO DA GENTE,PAULO AFONSO,PSOL,NÃO ELEITO,42,0.0,835.0,0.0
5173,ERY ALBERTO FREIRE COSTA DA SILVA,BETO DOIDO,PAULO AFONSO,PSOL,NÃO ELEITO,1060,0.0,835.0,0.0
31352,DINALDO DOS SANTOS PACHECO,DINALDO MACARRÁO,ITAPARICA,REPUBLICANOS,SUPLENTE,190,0.0,0.0,0.0
31344,LUCINALDO DE OLIVEIRA REIS,LUCINALDO REIS PROF  XUXU,ITAPARICA,REPUBLICANOS,SUPLENTE,216,0.0,0.0,0.0
5165,MILENA DE FARIAS PEREIRA GOMES,MILENA FARIAS,PAULO AFONSO,PSOL,NÃO ELEITO,14,0.0,835.0,0.0
28968,ELIZAEL ALVES DA SILVA FILHO,LICO DE CRISANTO,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,19,0.0,0.0,0.0
5153,JORGE JOSE NASCIMENTO,JORGE CATIMBO,PAULO AFONSO,AVANTE,SUPLENTE,219,0.0,0.0,0.0
5150,ALFINA MARIA DE ANDRADE,ALFINA NINHA,PAULO AFONSO,AVANTE,SUPLENTE,8,0.0,0.0,0.0
5152,ALEX LIMA DA SILVA,ALEX LIMA,PAULO AFONSO,AVANTE,SUPLENTE,69,0.0,789.69,0.0
7457,VITÓRIA SANTOS OLIVEIRA,VITÓRIA,UTINGA,DEM,SUPLENTE,6,0.0,600.0,0.0
28971,DIEGO FABRICIO RODRIGUES NEVES,FABRICIO NEVES,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,11,0.0,0.0,0.0
29017,CAMILO LELES DOS SANTOS OLIVEIRA,CAMILO VIANA,UTINGA,REPUBLICANOS,SUPLENTE,144,0.0,0.0,0.0
28970,DAMIÃO CRISPINIANO DOS SANTOS COSTA,DAMIÃO RODOVIÁRIO,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,12,0.0,0.0,0.0
31342,LAZARO JOSE DA SILVA,LAZARO DA FARMÁCIA,ITAPARICA,REPUBLICANOS,SUPLENTE,93,0.0,0.0,0.0
5156,ADAILTON SOARES DA SILVA,ADAILTON PITUKA,PAULO AFONSO,PSOL,NÃO ELEITO,106,0.0,835.0,0.0
5164,LADISLAU SILVA ROCHA,MADEIRA FIT,PAULO AFONSO,PSOL,NÃO ELEITO,53,0.0,835.0,0.0
5158,CLAUDIO JACSON DE ALMEIDA VERÇOSA,JACSON VERÇOSA,PAULO AFONSO,PSOL,NÃO ELEITO,1,0.0,180.0,0.0
5159,KILVIA MARIA DO NASCIMENTO SILVA SOUZA,KILVIA MARIA,PAULO AFONSO,PSOL,NÃO ELEITO,1,0.0,835.0,0.0
31343,ANTÔNIO FERNANDO LARANJEIRA MOREIRA,ANTÔNIO LARANJEIRA TONHO Ó,ITAPARICA,REPUBLICANOS,SUPLENTE,198,0.0,620.0,0.0
28969,NILO PEREIRA,NILO DE DUDA,SÃO SEBASTIÃO DO PASSÉ,AVANTE,NÃO ELEITO,15,0.0,0.0,0.0
5160,ALEXANDRE ALVES DA SILVA,ALEXANDRE ALVES,PAULO AFONSO,PSOL,NÃO ELEITO,112,0.0,835.0,0.0
5161,JOSECLEMA CREUZA DOS SANTOS,BINHA SANTOS,PAULO AFONSO,PSOL,NÃO ELEITO,9,0.0,835.0,0.0
5162,ARLETE JULIANE DA SILVA,ARLETE JULIANE,PAULO AFONSO,PSOL,NÃO ELEITO,32,0.0,835.0,0.0
31399,LAVINYA CARDOSO PITANGA,LAVINYA D  SARTTORY,IRARÁ,PSB,SUPLENTE,19,0.0,500.0,0.0
5082,JOCILENE SANTOS PEREIRA,LENE SANTOS,CANDEIAS,PSC,NÃO ELEITO,5,0.0,1059.0,0.0
31492,JOSÉ CLAUDINO FERREIRA,ZÉ CLAUDINO,ALAGOINHAS,PT,SUPLENTE,122,0.0,1750.0,0.0
31451,CLEONICE MARIA SILVA,CLEO BARRAQUEIRA,ALAGOINHAS,PODE,NÃO ELEITO,1,0.0,0.0,0.0
31452,EGUINALDO DE SENA,CURA,ALAGOINHAS,PODE,NÃO ELEITO,92,0.0,228.96,0.0
5207,TIAGO MELO DE CARVALHO,TIAGO CARVALHO,PAULO AFONSO,PT,NÃO ELEITO,53,0.0,2095.0,0.0
31453,TICIANA DE JESUS SANTOS,TICIANA,ALAGOINHAS,PODE,NÃO ELEITO,35,0.0,228.96,0.0
28923,SIMONE DOS SANTOS LARANJEIRA,SIMONE LARANJEIRA,BARREIRAS,PATRIOTA,NÃO ELEITO,28,0.0,1208.0,0.0
5045,SANDRA FERNANDES DA ROCHA,SANDRA DE ZÉ RENATO,MURITIBA,PSB,SUPLENTE,59,0.0,0.0,0.0
7316,NIVALDO NOVAIS SILVA,BOB DILAM,BARRA DO CHOÇA,PTB,NÃO ELEITO,44,0.0,0.0,0.0
31455,JOSEFA MARIA DE JESUS BASTOS,BENE,ALAGOINHAS,PODE,NÃO ELEITO,23,0.0,228.96,0.0
5044,RONALDO CORDEIRO DO ROSARIO,RONALDO ROSÁRIO (RR),CANDEIAS,PODE,SUPLENTE,59,0.0,411.5,0.0
31457,JOSE AGNALDO GONCALVES,PE DURO,ALAGOINHAS,PODE,NÃO ELEITO,9,0.0,228.96,0.0
7315,ALINE GOMES DA SILVA,ALINE,BARRA DO CHOÇA,PTB,NÃO ELEITO,15,0.0,0.0,0.0
31458,CARLOS ANTONIO FERREIRA DOS SANTOS,CARLOS MIKAO,ALAGOINHAS,PODE,NÃO ELEITO,17,0.0,0.0,0.0
31459,RICARDO SAMPAIO DA FONSECA,RICARDO SAMPAIO,ALAGOINHAS,PODE,NÃO ELEITO,16,0.0,0.0,0.0
31460,RENE PESSOA DAMACENO,PROFESSOR RENE,ALAGOINHAS,PODE,NÃO ELEITO,32,0.0,228.96,0.0
31461,LIDIANE ALMEIDA BISPO,LIDIANE MANICURE,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,15,0.0,0.0,0.0
31462,EVANI NASCIMENTO LEITE,VANDA PÉ DE POEIRA,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,79,0.0,0.0,0.0
31463,AMILTON DE JESUS ROCHA,TÉ DO GAS,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,63,0.0,0.0,0.0
5214,BRUNA TATIELE SANTOS DE JESUS,BRUNA DE TOCO,LAJE,PL,SUPLENTE,40,0.0,0.0,0.0
29064,CARLOS ANTONIO GOMES REGO,CARLOS VUDU,PORTO SEGURO,PSC,SUPLENTE,20,0.0,13300.18,0.0
5206,SIDNEY CÉZAR OLIVEIRA E SILVA FERREIRA,PROFESSOR PR SIDNEY CÉZAR,PAULO AFONSO,PT,NÃO ELEITO,35,0.0,1260.0,0.0
5216,JANETE SILVA DOS SANTOS ARGOLO,NETE ARGOLO,LAJE,PL,ELEITO POR QP,365,0.0,0.0,0.0
7319,ROBERTA FERNANDES OLIVEIRA,ROBERTA OLIVEIRA,BARRA DO CHOÇA,PTB,NÃO ELEITO,3,0.0,0.0,0.0
28929,FRANCISCO BRITO GONÇALVES,CHICO DO BOI,ENCRUZILHADA,PDT,SUPLENTE,37,0.0,620.0,0.0
28928,FRANCISCO ARAÚJO NUNES,NUNES,ENCRUZILHADA,PDT,SUPLENTE,21,0.0,620.0,0.0
5197,ANTONIO SALVE BATISTA,PROFESSOR SÁVIO,PAULO AFONSO,PT,NÃO ELEITO,25,0.0,1335.0,0.0
31444,ANA MARIA GOMES,ANA GOMES,ALAGOINHAS,PODE,NÃO ELEITO,28,0.0,0.0,0.0
28927,JOSELITA BONFIM DE SOUZA,JUSA,ENCRUZILHADA,PDT,SUPLENTE,22,0.0,620.0,0.0
31445,JUCINEIDE MUNIZ DOS SANTOS,JUCINEIDE MUNIZ,ALAGOINHAS,PODE,NÃO ELEITO,36,0.0,228.96,0.0
7321,UBIRATAN TEIXEIRA LIMA,DOUTOR BIRA,BARRA DO CHOÇA,PTB,NÃO ELEITO,42,0.0,0.0,0.0
28925,DIÊGO CASADO DE LIMA,DIÊGO GORDIN,BARREIRAS,PATRIOTA,NÃO ELEITO,52,0.0,1173.25,0.0
31446,ROBERTO DOS SANTOS OLIVEIRA,ROBERTO COOPERCAR,ALAGOINHAS,PODE,NÃO ELEITO,265,0.0,228.96,0.0
31447,JOSE DE ALMEIDA,ZEQUINHA DA CARNE,ALAGOINHAS,PODE,NÃO ELEITO,24,0.0,0.0,0.0
28924,ANGELICA DA SILVA DE ALMEIDA,ANGELICA DA SILVA,BARREIRAS,PATRIOTA,NÃO ELEITO,5,0.0,1208.0,0.0
5198,ANTONIO CARLOS FERREIRA,TONHO DE BIANOR,PAULO AFONSO,PT,NÃO ELEITO,98,0.0,2095.0,0.0
31448,ANGELICA DE ALMEIDA,ANGELICA,ALAGOINHAS,PODE,NÃO ELEITO,20,0.0,228.96,0.0
5201,LUCIENE FREITAS SILVA,LUCIENE DA ZUMBA,PAULO AFONSO,PT,NÃO ELEITO,18,0.0,2120.0,0.0
31449,JAIR CASTRO DE SANTANA,JAIR CASTRO,ALAGOINHAS,PODE,NÃO ELEITO,72,0.0,228.96,0.0
5046,WHELITON PEREIRA DE JESUS,WHELITON DE ROQUE DA SAUDE,MURITIBA,PSB,SUPLENTE,89,0.0,0.0,0.0
7320,MARIA RITA RIBEIRO DO NASCIMENTO,MARIA RITA,BARRA DO CHOÇA,PTB,NÃO ELEITO,84,0.0,0.0,0.0
31464,JOILSON CARDOSO DA SILVA,JOILSON SILVA,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,80,0.0,0.0,0.0
31465,ANGELINO LOPES DA SILVA JUNIOR,JUNIOR DOS PREDINHOS,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,227,0.0,0.0,0.0
31402,RONDEMAR SILVA DE SOUZA,BAIXINHO DO HOT DOG,ITABERABA,PSD,SUPLENTE,54,0.0,500.0,0.0
31479,ANTONIO CARLOS SILVA DE OLIVEIRA,NEGUINHO,VERA CRUZ,PT,NÃO ELEITO,36,0.0,0.0,0.0
31481,BENEDITO TEIXEIRA NATIVIDADE,BIU,VERA CRUZ,PT,NÃO ELEITO,31,0.0,0.0,0.0
5220,ANA PAULA SOUZA OLIVEIRA,PAULA,LAJE,PL,SUPLENTE,7,0.0,0.0,0.0
31482,ANDERSON DOS ANJOS DOS SANTOS,ANDERSON NINHO,VERA CRUZ,PT,NÃO ELEITO,10,0.0,0.0,0.0
31483,LUCAS CONCEICAO LEITE,PROFESSOR LUCAS,VERA CRUZ,PT,NÃO ELEITO,74,0.0,0.0,0.0
28914,FRANCISCA DA SILVA DE OLIVEIRA,FRANCISCA OLIVEIRA,BARREIRAS,PT,NÃO ELEITO,108,0.0,490.0,0.0
29070,LUCIMARA DAS VIRGENS SILVA,LUCIMARA PROFESSORA,PORTO SEGURO,PMB,SUPLENTE,31,0.0,0.0,0.0
31484,GRAÇA MARIA BULCAO RIBEIRO DE ANDRADE,GRAÇA,VERA CRUZ,PT,NÃO ELEITO,49,0.0,0.0,0.0
7307,MARIA SOUZA CAMBUI,MARIA CAMBUI,LUÍS EDUARDO MAGALHÃES,PODE,SUPLENTE,16,0.0,772.45,0.0
31485,MARIO JORGE GOMES DA SILVA,PEZINHO,VERA CRUZ,PT,NÃO ELEITO,13,0.0,0.0,0.0
29072,DANIEL DE BRITO FERREIRA,DANIEL DA LOTAÇÃO,PORTO SEGURO,PMB,SUPLENTE,121,0.0,2443.0,0.0
31486,GIL DE SOUZA BRAGA,GIL BRAGA,VERA CRUZ,PT,NÃO ELEITO,98,0.0,0.0,0.0
5043,LUCINALDO SANTANA DA COSTA DA SILVA,LUCINALDO SANTANA,CANDEIAS,PODE,SUPLENTE,128,0.0,266.5,0.0
5040,GILMARA SANTOS DE JESUS,JUJUBA,CANDEIAS,PODE,SUPLENTE,5,0.0,266.5,0.0
31489,PAULO VITOR MARQUES MENDONÇA,VITOR MARQUES,VERA CRUZ,PT,NÃO ELEITO,37,0.0,0.0,0.0
5221,DOMINGOS BARRETO SOUSA,DUINHA,LAJE,PL,SUPLENTE,65,0.0,0.0,0.0
5038,MARIVALDO DE SOUZA,MARIVALDO CHURRASQUEIRO,CANDEIAS,PODE,SUPLENTE,23,0.0,266.5,0.0
31491,MARIA CREUZA DE SOUZA DOS SANTOS,CREUZINHA DA AGRICULTURA,ALAGOINHAS,PT,SUPLENTE,53,0.0,10059.7,0.0
31480,JUCIARA ANDRADE DE JESUS FALHEIROS,JUCI DA CHAVE,VERA CRUZ,PT,NÃO ELEITO,15,0.0,0.0,0.0
28917,STELA DA SILVA VIEIRA,STELA VIEIRA,BARREIRAS,PT,NÃO ELEITO,33,0.0,490.0,0.0
7312,ARISTIDES FERNANDES RODRIGUES NETO,NETINHO DOS TRIBUTOS,LUÍS EDUARDO MAGALHÃES,PODE,SUPLENTE,245,0.0,772.45,0.0
31478,SONIA REGINA MAGALHAES CHAVES,SONINHA,VERA CRUZ,PT,NÃO ELEITO,2,0.0,0.0,0.0
5217,AILTON DE JESUS SANTOS,AILTON DA CAF,LAJE,PL,SUPLENTE,62,0.0,0.0,0.0
31466,LEDMILSON TEIXEIRA DA SILVA,DD DA ELETRONICA,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,16,0.0,0.0,0.0
31467,VAGNER DE OLIVEIRA LIMA,SHURECK,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,12,0.0,0.0,0.0
31468,MICHELE PEREIRA RIBEIRO,MICHELE RIBEIRO,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,16,0.0,0.0,0.0
31469,BRUNO JESUS DE OLIVEIRA,BRUNO DE VALTER,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,84,0.0,0.0,0.0
31333,JOSE IVAN SANTOS PAZ,IVAN,OURIÇANGAS,DEM,ELEITO POR QP,240,0.0,3927.5,0.0
31470,CARINA CONCEIÇÃO DO PARAIZO,CARINA PARAIZO,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,54,0.0,0.0,0.0
31471,ANTONIO PEREIRA MAGALHÃES,TOIM BOMBINHA,BOM JESUS DA LAPA,SOLIDARIEDADE,NÃO ELEITO,37,0.0,0.0,0.0
5218,FIDELIS DOS SANTOS,FIDELIS,LAJE,PL,SUPLENTE,39,0.0,0.0,0.0
