,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA,VR_VOTO
19265,ROSILENE NASCIMENTO DA SILVA,ROSE DE VAVÁ,PORTO SEGURO,PDT,NÃO ELEITO,23,0.0,0.0,0.0
19267,INGLEDILSON JESUS SANTOS,PASTOR INGLEDILSON ,PORTO SEGURO,PDT,NÃO ELEITO,107,0.0,0.0,0.0
19268,MIRELE DE SOUZA GONÇALVES,MIRELE SOUZA,PORTO SEGURO,PDT,NÃO ELEITO,5,0.0,0.0,0.0
19269,MAX EMILIANO SANTOS,MAX EMILIANO,PORTO SEGURO,PDT,NÃO ELEITO,9,0.0,1000.0,0.0
19271,JOÃO DOS SANTOS SOARES,JOÃO CARACOL,PORTO SEGURO,PDT,NÃO ELEITO,128,0.0,0.0,0.0
19272,IVAN CARLOS MATOS DE SOUZA ANDRADE,IVAN DE TICA,PORTO SEGURO,PDT,NÃO ELEITO,110,0.0,1000.0,0.0
19453,JOILSON SANTOS DE ALMEIDA,JOILSON,GOVERNADOR MANGABEIRA,PSOL,NÃO ELEITO,78,0.0,0.0,0.0
19455,ADRIANO DA SILVEIRA DOS SANTOS,ADRIANO,GOVERNADOR MANGABEIRA,PSOL,NÃO ELEITO,61,0.0,0.0,0.0
19167,JOSÉ RODRIGUES DA SILVA NETO,NETÃO DA LOTAÇÃO,ITAPEBI,PSD,SUPLENTE,48,0.0,140.0,0.0
19456,GILSON DE SOUZA MOREIRA,GIL,GOVERNADOR MANGABEIRA,PSOL,NÃO ELEITO,22,0.0,0.0,0.0
17254,JOSE RAIMUNDO DA SILVA,ZE RAIMUNDO DA LAGOA DOCE,OLINDINA,PODE,NÃO ELEITO,39,0.0,0.0,0.0
17253,LOURIVALDO NUNES DA SILVA,LOURO FIBRA,OLINDINA,PODE,NÃO ELEITO,24,0.0,780.0,0.0
17252,FRANCISCO DE SOUZA GOIS,BADINHO,OLINDINA,PODE,NÃO ELEITO,96,0.0,780.0,0.0
17251,EDNILSON DE SOUZA OLIVEIRA,EDI,OLINDINA,PODE,NÃO ELEITO,191,0.0,1380.0,0.0
17250,MADALENA CONCEIÇAO BATISTA RODRIQUES,MADÁ,OLINDINA,PODE,NÃO ELEITO,1,0.0,780.0,0.0
19669,ADAIANY ARAÚJO SILVA,ADAIANY,CAETITÉ,PSD,SUPLENTE,30,0.0,525.0,0.0
17227,GILSON SILVA GOMES,GILSON DE ZELINO,BOQUIRA,PSD,SUPLENTE,303,0.0,1304.0,0.0
17226,TEREZINHA XAVIER DE MACEDO,TEREZINHA MACEDO,BOQUIRA,PSD,SUPLENTE,73,0.0,944.0,0.0
17224,MARIA NEUZA SILVA CHAVES SÁ TELES,NEUZA CHAVES,BOQUIRA,PSD,SUPLENTE,68,0.0,1304.0,0.0
17222,NILSON ALVES DA CONCEICAO,NILSON DO OLHO D ÁGUA,BOQUIRA,PSD,SUPLENTE,248,0.0,1304.0,0.0
17221,SALVADOR ALMEIDA NEVES,NENA DE JULVÊNCIO,BOQUIRA,PSD,SUPLENTE,369,0.0,1304.0,0.0
17220,JUDSON DE BRITO CARLOS,JU DE DEDÉ DE ADOLFINO,BOQUIRA,PSD,SUPLENTE,63,0.0,1304.0,0.0
17219,JAILTON DOURADO COSTA PASSOS,JAILTON DA AUTO ESCOLA,BOQUIRA,PSD,SUPLENTE,303,0.0,1304.0,0.0
19680,JOSÉ CARLOS DE JESUS DOS SANTOS,CACAU DE NINHA,AMÉLIA RODRIGUES,REPUBLICANOS,SUPLENTE,37,0.0,0.0,0.0
17218,JUDSON ALMEIDA DE SOUZA,LIRA DA FARMÁCIA,BOQUIRA,PSD,ELEITO POR QP,553,0.0,1304.0,0.0
17217,JAMILTON NASCIMENTO DOS SANTOS,JAMILTON JAI,BOQUIRA,PSD,ELEITO POR QP,590,0.0,1304.0,0.0
17216,SIMONE MAIA FERREIRA,SIMONE MAIA,BOQUIRA,PSD,SUPLENTE,82,0.0,1304.0,0.0
17215,AELSON GONÇALVES LIMA,GALEGO DA BATERIA,BOQUIRA,PSD,ELEITO POR QP,700,0.0,1304.0,0.0
17196,REGINALDO OLIVEIRA CORREIA,REGI CORRERIA,SÃO GONÇALO DOS CAMPOS,PSB,SUPLENTE,175,0.0,300.0,0.0
17159,PEDRO ROGER BASTOS DE JESUS,PEU CORRERIA,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,377,0.0,300.0,0.0
17156,JOSE DA SILVA CERQUEIRA,CERQUEIRA,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,35,0.0,300.0,0.0
17155,ANTONIO CARLOS PEDREIRA CERQUEIRA,GORDO DO CAJUEIRO,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,50,0.0,0.0,0.0
17153,CARMEN LUCIA ADEODATO MORAES,CARMEN MORAES,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,35,0.0,2391.0,0.0
17152,PEDRO BISPO RAMOS JUNIOR,JUNIOR DO PT,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,143,0.0,1635.0,0.0
17149,ANTONIO MACHADO DA SILVA,TOINHO DO VASCO,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,99,0.0,0.0,0.0
19698,JOSÉ FLAVIO SILVA MATOS,BACANINHA,UNA,PODE,SUPLENTE,13,0.0,200.0,0.0
17147,EDMAR PEDREIRA DO NASCIMENTO,DIMA MILLANO,SÃO GONÇALO DOS CAMPOS,PT,SUPLENTE,63,0.0,0.0,0.0
17144,EDILEUZA MENDES DE QUEIROZ,EDILEUZA DE ZÉ TOMATE,ITUAÇU,PSDB,NÃO ELEITO,30,0.0,1129.0,0.0
19702,SUELY COELHO DOS SANTOS,SUELY DE TINHO,UNA,PODE,SUPLENTE,2,0.0,200.0,0.0
17255,GILVANE FRANCA DA SILVA,VANE DE ZÉ DE PEDRO,OLINDINA,PODE,NÃO ELEITO,116,0.0,780.0,0.0
17256,ANTONI CEZAR FERREIRA DE SANTANA ROCHA,TONI ROCHA,OLINDINA,PODE,NÃO ELEITO,2,0.0,0.0,0.0
17257,LUZIA SILVA DA SILVA,LUZIA,OLINDINA,PODE,NÃO ELEITO,18,0.0,780.0,0.0
19643,ANA CLAUDIA DOS SANTOS TEIXEIRA,CLAUDINHA DE PR DJAVEL,ENTRE RIOS,REPUBLICANOS,NÃO ELEITO,6,0.0,0.0,0.0
17278,CESAR PEREIRA DA SILVA,CEZINHA JORNALISTA,VERA CRUZ,PP,SUPLENTE,10,0.0,350.0,0.0
17277,JOSEVALDO DA SILVA PROTASIO,VAL PROTASIO,VERA CRUZ,PP,SUPLENTE,30,0.0,350.0,0.0
17276,ANTONIA PUREZA BISPO,TITA,VERA CRUZ,PP,SUPLENTE,1,0.0,350.0,0.0
